,Adaboost,Decision Tree,Gradient Boost,LinearSVC,Naive Bayes,Nearest Neighbors,NuSVC,QDA,Random Forest,SVC
Random Forest,0.178571428571,0.214285714286,0.160714285714,0.160714285714,0.232142857143,0.160714285714,0.357142857143,0.0714285714286,0.267857142857,0.285714285714
SVC,0.185185185185,0.148148148148,0.259259259259,0.203703703704,0.222222222222,0.222222222222,0.222222222222,0.037037037037,0.148148148148,0.222222222222
NuSVC,0.173076923077,0.211538461538,0.230769230769,0.192307692308,0.192307692308,0.230769230769,0.25,0.134615384615,0.269230769231,0.192307692308
Decision Tree,0.26,0.14,0.32,0.2,0.42,0.18,0.4,0.1,0.22,0.32
Adaboost,0.18,0.14,0.26,0.16,0.3,0.22,0.24,0.14,0.24,0.34
Gradient Boost,0.122448979592,0.30612244898,0.204081632653,0.183673469388,0.224489795918,0.183673469388,0.326530612245,0.102040816327,0.163265306122,0.183673469388
LinearSVC,0.208333333333,0.229166666667,0.270833333333,0.1875,0.208333333333,0.166666666667,0.354166666667,0.0625,0.1875,0.291666666667
Naive Bayes,0.208333333333,0.208333333333,0.333333333333,0.1875,0.25,0.208333333333,0.291666666667,0.0208333333333,0.208333333333,0.3125
QDA,0.170212765957,0.127659574468,0.255319148936,0.212765957447,0.234042553191,0.170212765957,0.31914893617,0.127659574468,0.127659574468,0.31914893617
Nearest Neighbors,0.347826086957,0.152173913043,0.282608695652,0.217391304348,0.217391304348,0.239130434783,0.391304347826,0.0652173913043,0.260869565217,0.304347826087
